Affiliation No.,Name,Head/Principle,Status of the School:,Affiliated Upto,Address,Phone,Email
2730049,RAMJAS SCHOOL,MOHINI BINDRA,Senior Secondary, 31/03/2023 ,"PUSA ROAD NEW DELHI,110005","011,25767358",mohinibindra@hotmail.com
2778037,ramjas sec school no-6,SHYAM PAL BHARTI,Secondary School, 31/03/2020 ,"bazar sita ram delhi,110006","011,23234557",shyampalbharti@gmail.com
2778044,RAMJAS SR SEC SCHOOL NO-1,RAJESH SANSANWAL,Senior Secondary, 31/03/2017 ,"DARYAGANJ NEW DELHI,110002","011,23274640",ramjasnumber1@gmail.com
2778052,RAMJAS SR SEC SCHOOL NO-2,CHANDI PRASAD KOTHIYAL,Senior Secondary, 31/03/2024 ,"ANAND PARBAT NEW DELHI,110005","011,28762806",kothiyalcp23@gmail.com
2778058,RAMJAS SR SEC SCHOOL NO-3,Anil Kumar Gautam,Senior Secondary, 31/03/2020 ,"KUCHA NATWAN CHANDNI CHOWK DELHI,110006","011,23961334",anilgautam.gautam11@gmail.com
2778025,ramjas sr sec school no-4,VIPIN KUMAR,Senior Secondary, 31/03/2020 ,"chitragupta road new delhi,110055","011,23525070",kumarvipinpatni@gmail.com
2778053,ramjas sr sec school no-5,SANDEEP GUPTA,Senior Secondary, 31/03/2022 ,"karol bagh new delhi,110005","011,28722815",ramjas5@rediffmail.com
2730784,RAN SINGH MODEL PUBLIC SCHOOL,Mrs.Ved Kaur,Secondary School, 31/03/2020 ,"Pratap Vihar, Part - III, E - Block, Kirari, New Delhi - 110086,110086",",9811194517",nkmahajanfca@gmail.com
2758038,rana partap sindhi govt. sarvodaya,Prem Sukh,Senior Secondary, 31/03/2020 ,"co-edu sr. sec.school new rajinder nagar new delhi,110060","011,28741585",premsukh1958@gmail.com
2760004,RANI CHENNAMMA GOVT GIRLS SR SEC SCHOOL,ANITA BHARTI,Senior Secondary, 31/03/2025 ,"D BLOCK JAHANGIR PURI DELHI,110033","011,27635501",anita.bharti@gmail.com
2778068,rani dutta arya vidyalaya,Sita Sharma,Senior Secondary, 31/03/2016 ,"1488 pataudi house darya ganj new delhi,110002","011,23253943",seetasharma715@gmail.com
2764003,rani jhansi govt sarvodaya girls sr,Manisha Vaish,Senior Secondary, 31/03/2020 ,"sec school railway colony tughlakabad new delhi,110044","011,26369589",rjskv.tkd@gmail.com
2730700,Rani Public School,GEETA SAINI,Secondary School, 31/03/2020 ,"16/10, A-1 Block, Sant Nagar, Burari, Delhi,110084","011,27615830",saigeetasaini@gmail.com
2730738,RAO BALRAM PUBLIC SCHOOL,KOKINDRA BAI,Secondary School, 31/03/2023 ,"SARASWATI ENCLAVE GOPAL NAGAR NAJAFGARH NEW DELHI,110043","011,28015298",RBPSDELHI43@GMAIL.COM
2730800,RAO CONVENT SCHOOL,Mrs.PROMILA,Secondary School, 31/03/2021 ,"VILL PANDWALA KHURD, NAJAFGARH, NEW DELHI -110043,110043",",09968098055",vikrantyadav000005@gmai.comWebsite:http://www.raoconventschool.co.in
2730682,RAO GANGA RAM PUBLIC SCHOOL,NIKKI YADAV,Senior Secondary, 31/03/2022 ,"OLD DELHI GURGOAN ROAD, KAPASHERA, NEW DELHI 110037,110037","011,25064697",nikkirgryadav@gmail.com
2730167,RAO MAN SINGH SR SEC SCHOOL,JAI KRISHAN ARORA,Senior Secondary, 31/03/2020 ,"ROSHAN PURA  PAPRAWAT ROAD NAJAFGARH NEW DELHI,110043","011,25010922",raomansinghschool1989@gmail.com
2730318,RAO MOHAR SINGH MEMORIAL PUB SCHOOL,PARKASH DEVI SHARMA,Senior Secondary, 31/03/2021 ,"ROSHANPURA PAPRAWAT ROAD NAJAFGARH, DISTT SOUTH WEST DELHI, NEW DELHI,250342","011,65478269",info@raomoharsinghschool.com
2756015,rao tula ram govt.  sarvodaya co.ed,kanhya lal,Senior Secondary, 31/03/2018 ,"sr sec school surera new delhi,110043","011,25012070",narenkr@eth.net
2730230,RASHTRA SHAKTI VIDYALAYA,SHASHI TYAGI,Senior Secondary, 31/03/2020 ,"HASTSAL (GANDHI NIDHI) NEAR UTTAM NAGAR NEW DELHI,110059","011,25083637",RSVPRSHASHI.09@GMAIL.COM
2786004,RASHTRIYA VIRJA NAND ANDH KANYA SR.,SMT. USHA KIRAN,Senior Secondary, 31/03/2018 ,"SEC.SCHOOL J-BLOCK VIKAS PURI NEW DELHI,110018",",25507758",
2730685,ratan jee modern school,mrs.anita devi,Senior Secondary, 31/03/2021 ,"tanki road., shakti vihar, badarpur, new delhi - 110044,110044",",09810074551",nkmahajanfca@gmail.com
2782003,rattan devi arya girls sr sec school,PRAVEEN KUMARI,Senior Secondary, 31/03/2021 ,"krishna nagar delhi,110051","011,22093483",rdagsss@gmail.com
2730105,RAVINDRA PUBLIC SCHOOL,VIJAY BHAT,Senior Secondary, 31/03/2020 ,"SD BLOCK (NEAR T V TOWER) PITAMPURA, DISTT SOUTH WEST DELHI, DELHI,110088","011,27312598",ravindrapublicschool@rediffmail.com
2778064,RAWALPINDI S D SR SEC SCHOOL,SHRI D K NARANG,Senior Secondary, 31/03/2022 ,"SUBZI MANDI DELHI,110007","011,23856716",
2730335,RED ROSE MODEL SCHOOL,ALKA AGGARWAL,Secondary School, 31/03/2020 ,"WE BLOCK MOHAN GARDEN NEW DELHI,110059","011,25351178",redrose132@hotmail.com
2730194,RED ROSES PUBLIC SCHOOL,ANURADHA MEHTA,Senior Secondary, 31/03/2020 ,"D BLOCK  SAKET NEW DELHI,110017","011,26962977",anuradha210205@gmail.comWebsite:www.redrosesaket.com
2730143,REMAL PUBLIC SCHOOL,SANGEETA VERMA,Senior Secondary, 31/03/2022 ,"BLOCK-A POCKET-2 SECTOR III ROHINI DELHI,110085","011,47512024",remalps@yahoo.com
2730266,RICH HARVEST PUBLIC SCHOOL,NEHA GANDHI,Senior Secondary, 31/03/2020 ,"A/1/253 JANAKPURI, DISTT WEST DELHI, NEW DELHI,110058","011,25619922",nehagandhivij@yahoo.com
2730588,RICHMONDD GLOBAL SCHOOL,KIRAN SEHAJPAL,Senior Secondary, 31/03/2016 ,"NS RD, OPP INDER ENCLAVE, MIANWALI NAGAR, PASHIM VIHAR,110087","011,25276588",kiransehajpal@rediffmail.comWebsite:www.richmonddglobalschool.edu.in
2730388,ring midways public school,mr. rizak ram gaur,Senior Secondary, 31/03/2019 ,"najafgarh vipin garden, DISTT SOUTH WEST DELHI, new delhi,110059","011,25351710",shashisms@gmail.com
2730377,RISHABH PUBLIC SCHOOL,LATA SINGH,Senior Secondary, 31/03/2021 ,"POCKET IV MAYUR VIHAR PHASE I DELHI,110091","011,22752055",rishabhpublicschool@yahoo.co.in
2730649,RISHIKUL VIDYAPEETH,Alka Datt,Senior Secondary, 31/03/2021 ,"Alipur Delhi-36,110036","011,65709800",rishikulvidyapeeth36@gmail.comWebsite:http://www.therishikul.edu.in
2730409,RISING STAR ACADEMY PUBLIC SCHOOL,SHASHI HARISH,Senior Secondary, 31/03/2020 ,"110 RAJ NAGAR PITAM PURA DELHI,110034","011,45231150",pradeep.harish27@yahoo.com
2730799,ROCKFIELD PUBLIC SCHOOL,MRS. ALKA SRIVASTAVA,Senior Secondary, 31/03/2021 ,"BLOCK-A, SECTOR-16, ROHINI, DELHI,110089",",01127856800",info@rockfieldschool.netWebsite:http://www.rockfieldschool.net
2778011,ROHTAGI A V SR SEC SCHOOL,MANJU TYAGI,Senior Secondary, 31/03/2020 ,"NAI SARAK DELHI,110006","011,23265625",MANJUTYAGI11@REDIFFMAIL.COM
2730071,ROSARY SR SEC SCHOOL,REV FR VINCENT DSOUZA,Senior Secondary, 31/03/2020 ,"KINGSWAY CAMP RADIO COLONY DELHI,110009","011,27606359",school_rosary@rediffmail.comWebsite:http://rosaryschool.in
2730426,ROSE VALLEY PUBLIC SCHOOL,Mr. MS KAVITA,Secondary School, 31/03/2007 ,"RZ 20 NATHAN VIHAR NANGLOI NAJAFGARH ROAD NEW DELHI,      ","011,28365532",rosevalleypublicschool@yahoo.co.in
2762030,ROSHANARA GOVT.SARVODAYA GIRLS S.S.S,MADHU KUMAR,Senior Secondary, 31/03/2020 ,"NO.1 MANSAROVAR PARK SHAHDARA DELHI,110032","011,22123865",KUMARMADHU1966@GMAIL.COM
2730806,Royal International School,Mrs.Rajni Devi,Secondary School, 31/03/2021 ,"Kotla Vihar, Phase - II, Baprola,,110043","011,9899108506, 8468092788",nkmahajanfca@gmail.com
2730100,RUKMANI DEVI JAIPURIA PUBLIC SCHOOL,S K SAXENA,Senior Secondary, 31/03/2020 ,"23 RAJPUR ROAD, DISTT NORTH DELHI, DELHI,110054","011,23965643",sksaxena20012@gmail.com
2730165,RUKMANI DEVI PUBLIC SCHOOL,Anjali Kotnala,Senior Secondary, 31/03/2019 ,"CD BLOCK PITAMPURA, DISTT NORHT WEST DELHI, DELHI,110034","011,27314235",anjali.kotnala@rdpschool.edu.in
2730373,RURAL COMPLEX FOR COMPELTE EDUCATION,RAJINDER KUMAR SAINI,Secondary School, 31/03/2021 ,"RCCE PUBLIC SCHOOL V PO CHANDANHULLA MEHRAULI, NEW DELHI,110030","011,64741464",rajindersaini1965@gmail.com
2730310,RYAN INTERNATIONAL,Mamta Nanda,Senior Secondary, 31/03/2022 ,"SECTOR 25 PHASE III ROHINI, NORTH WEST DELHI, DELHI,110085","011,27932770",mamtananda71@gmail.com
2730355,RYAN INTERNATIONAL SCHOOL,SULOCHANA RAJA,Senior Secondary, 31/03/2022 ,"SECTOR B KONDLI GHAROLI MAYUR VIHAR PHASE III, DISTT EAST DELHI, DELHI,110096","011,22612036",sulochana.raja@ryangroup.org
2730239,RYAN INTERNATIONAL SCHOOL,Mr. Arti Bahadur,Senior Secondary, 31/03/2020 ,"C-8 VASANT KUNJ, DISTT SOUTH DELHI, NEW DELHI,110070","011,26899089",ris.vasantkunj@ryangroup.org
2776008,s b mills sr sec school,PREETI SHUKLA,Senior Secondary, 31/03/2022 ,"shivaji marg new delhi,110015","011,25101237",principalsbmshivajimarg@gmail.com
2776002,s d co-ed sec school,sh r p jain,Secondary School, 31/03/2022 ,"sadar bazar delhi cantt new delhi,110010",",",
2786002,S D GIRLS SR SEC SCHOOL,NEERJA SHARMA,Senior Secondary, 31/03/2022 ,"EAST PATEL NAGAR NEW DELHI,110008","011,25886117",neerja.akinchan@gmail.com
2788018,s d hari mandir girls  sr sec school,ANITA JAIN,Senior Secondary, 31/03/2018 ,"jhandewalan marg nabi karim new delhi,110055","011,23525136",jainanita102@yahoo.com
2730111,S D PUBLIC SCHOOL,SUMAN GANDHI,Senior Secondary, 31/03/2020 ,"ROAD NO 10 EAST PUNJABI BAGH NEW DELHI,110026","011,28311317",sanatandps@gmail.comWebsite:www.ggnpublicschool.com
2730217,S D PUBLIC SCHOOL,MEENAKSHI GUPTA,Senior Secondary, 31/03/2020 ,"LAL MANDIR EAST PATEL NAGAR, DISTT WEST DELHI, NEW DELHI,110008","011,25889160",mnksh_gpt@yahoo.co.inWebsite:www.mountabuschool.com
2730236,S D PUBLIC SCHOOL,ANJALI MAGOO,Secondary School, 31/03/2021 ,"NEAR POLICE STATION KIRTI NAGAR NEW DELHI,110015","011,25930153",anjalimagoo@gmail.com
2776009,s d sec school (gujarati),RAKESH BABU,Secondary School, 31/03/2020 ,"kirti nagar new delhi,110015","011,65484729",rbstyarthi@gmail.com
2772005,s d sr sec school,DHARAMVEER,Senior Secondary, 31/03/2021 ,"shahdara delhi,110032","011,22303340",schoolsd@ymail.com
2774008,s e s baba nebhraj sr sec sch,POONAM BHATNAGAR,Senior Secondary, 31/03/2024 ,"lajpat nagar i new delhi,110024","011,29816006",sesbabanebhraj@yahoo.co.in
2788024,S G H K KHALSA GIRLS SR SEC SCHOOL,SURINDER KAUR BAWA,Senior Secondary, 31/03/2020 ,"MATA SUNDARI,MATA SUNDARI ROAD NEW DELHI,110002","011,23210106",MATASUNDRI1956@GMAIL.COM
2778019,s g t b girls sr sec school,Rashmi Bhatnagar,Senior Secondary, 31/03/2021 ,"pul bangash delhi,110006","011,23527050",sgtbpulbangash@gmail.com
2788033,S G T B KHALSA GIRLS SR SEC,SUMAN MALA,Senior Secondary, 31/03/2020 ,"SCHOOL DEV NAGAR NEW DELHI,110005","011,28728480",sgtbkgd1953@gmail.com
2788014,s g t b khalsa girls sr sec school,DURGESH,Senior Secondary, 31/03/2023 ,"sis ganj chandni chowk delhi,110006","011,23275936",principalsgtb@gmail.com
2774017,s g t b khalsa girls sr sec school,AJIT KAUR,Senior Secondary, 31/03/2020 ,"ali ganj lodhi colony new delhi,110003","011,24617802",sgtbaliganj@gmail.com
2752130,s k v,SEEMA KHURANA,Senior Secondary, 31/03/2022 ,"khicharipur village, j j colony, delhi-110091,110091","011,22786916",1002360hos@gmail.com
2750016,S K V,RAKESH BAL,Senior Secondary, 31/03/2023 ,"TIKRI KHURD DELHI,110040","011,27786335",tikrikhurd@gmail.com
2730059,S M ARYA PUBLIC SCHOOL,Anjali Kohli,Senior Secondary, 31/03/2020 ,"ROAD NO 45 PUNJABI BAGH, DISTT WEST DELHI, NEW DELHI,110026","011,25221604",anjali.kohli@yahoo.com
2778062,S M JAIN MODERN SR SEC SCHOOL,VEENA MADAN,Senior Secondary, 31/03/2020 ,"BI - BLOCK, SHALIMAR BAGH, DELHI,110088","011,27481024",SMJAINSCHOOL@REDIFFMAIL.COM
2774005,S R S D SR SEC SCHOOL,J L CHAUHAN,Senior Secondary, 31/03/2025 ,"LAJPAT NAGAR IV NEW DELHI,110024","011,26475177",chauhanjl@rediffmail.comWebsite:alokbhartischool@yahoo.co
2788026,S S K KHALSA GIRLS SR SEC SCHOOL,MALTI HARIT,Senior Secondary, 31/03/2022 ,"DARYA GANJ NEW DELHI,110002","011,23274205",SSKKGSSS@GMAIL.COM
2774006,s s khalsa sr sec school (chakwal),PreetMohinder Singh  HOS,Senior Secondary, 31/03/2023 ,"lajpat nagar iv new delhi,110024","01,26417910",SSKhalsa.58@rediff.com
2778001,s s l t gujarat sr sec school,ARTI SHARMA,Senior Secondary, 31/03/2020 ,"raj niwas marg delhi,110054","011,23968357",artikrishan@yahoo.co.in
2730074,S S MOTA SINGH SR SEC MODEL SCHOOL,JYOTI AURORA,Senior Secondary, 31/03/2020 ,"BLOCK A JANAK PURI NEW DELHI,110058","011,25553198",JYOTI.SSMS@GMAIL.COM
